seed,asset-count,random-mean-score,ga-mean-score,initial-dsl-mean-score,final-dsl-mean-score,final-minus-random,final-minus-ga,final-minus-initial,random-mean-gap,ga-mean-gap,initial-dsl-mean-gap,final-dsl-mean-gap,random-mean-runtime-ms,ga-mean-runtime-ms,initial-dsl-mean-runtime-ms,final-dsl-mean-runtime-ms
13,100,0.6950750572346402,0.864340850292374,0.9982054274679871,0.9982054274679871,0.3031303702333469,0.13386457717561318,0.0,0.30492494276535975,0.13565914970762608,0.0017945725320128985,0.0017945725320128985,18.295154200000002,22.4985431,26.7829118,24.650556400000006
13,250,0.6339939494046686,0.814691413150026,0.9993273682679256,0.9993273682679256,0.365333418863257,0.18463595511789954,0.0,0.3660060505953314,0.18530858684997414,6.726317320745617E-4,6.726317320745617E-4,54.8549763,67.9395614,73.142399,108.8910758
13,500,0.609424822845536,0.7884141633617061,0.9996746779764404,0.9996746779764404,0.3902498551309044,0.21126051461473427,0.0,0.3905751771544639,0.2115858366382939,3.253220235596878E-4,3.253220235596878E-4,109.43358779999998,134.9388112,157.44348079999997,341.8789978
14,50,0.7529393654470512,0.8950186600313694,0.9971620564084697,0.9966879184774353,0.24374855303038412,0.10166925844606589,-4.741379310343463E-4,0.2470606345529487,0.10498133996863065,0.0028379435915303714,0.003312081522564855,8.860648099999999,11.174578100000002,14.410343399999999,10.339312099999999
14,100,0.7128421051305325,0.8679692427121717,0.9982054274679871,0.9982054274679871,0.28536332233745465,0.13023618475581544,0.0,0.28715789486946763,0.13203075728782832,0.0017945725320128985,0.0017945725320128985,19.325477,23.6674717,29.039024700000006,26.431595100000003
14,250,0.6391861954898426,0.8098549324974528,0.9993273682679256,0.9993273682679256,0.360141172778083,0.1894724357704728,0.0,0.3608138045101575,0.1901450675025471,6.726317320745617E-4,6.726317320745617E-4,51.99911619999999,63.4022099,74.7342007,106.20372640000001
14,500,0.6078416104349555,0.7873262163132011,0.9996746779764404,0.9996746779764404,0.39183306754148484,0.21234846166323929,0.0,0.3921583895650444,0.21267378368679885,3.253220235596878E-4,3.253220235596878E-4,111.79893890000001,137.62252009999997,143.40896370000002,361.9665787
15,50,0.7326716468186858,0.8985696002628074,0.9966879184774353,0.9966879184774353,0.2640162716587495,0.09811831821462791,0.0,0.2673283531813141,0.10143039973719252,0.003312081522564855,0.003312081522564855,9.686135500000002,11.8831967,15.5614724,11.216446300000001
15,100,0.7046386904610054,0.8665538312211869,0.9982054274679871,0.9982054274679871,0.29356673700698177,0.13165159624680023,0.0,0.29536130953899464,0.133446168778813,0.0017945725320128985,0.0017945725320128985,19.959909900000003,24.2562795,33.3785582,27.1456575
15,250,0.6515847519980211,0.8106019057949864,0.9993273682679256,0.9993273682679256,0.34774261626990444,0.1887254624729392,0.0,0.34841524800197887,0.18939809420501377,6.726317320745617E-4,6.726317320745617E-4,54.58142870000002,67.83022810000001,99.5104747,111.8563
15,500,0.5991768255576109,0.7932468042533525,0.9996746779764404,0.9996746779764404,0.4004978524188295,0.2064278737230879,0.0,0.4008231744423892,0.20675319574664752,3.253220235596878E-4,3.253220235596878E-4,108.23788760000002,131.4690938,225.87124630000002,347.37474810000003
16,50,0.7451893331114655,0.9077367586652606,0.9966879184774353,0.9966879184774353,0.2514985853659698,0.08895115981217472,0.0,0.2548106668885346,0.09226324133473936,0.003312081522564855,0.003312081522564855,9.9409668,12.1065937,11.455269,11.449903199999998
16,100,0.704861438699675,0.8714148709390802,0.9982054274679871,0.9982054274679871,0.29334398876831214,0.12679055652890692,0.0,0.29513856130032506,0.1285851290609199,0.0017945725320128985,0.0017945725320128985,20.324838699999997,24.8401796,25.3504798,27.294852900000002
16,250,0.6356414634629532,0.8181476174254148,0.9993273682679256,0.9993273682679256,0.3636859048049723,0.1811797508425108,0.0,0.36435853653704675,0.18185238257458514,6.726317320745617E-4,6.726317320745617E-4,55.2045928,67.7727806,102.9155508,111.6255516
16,500,0.6046160216107285,0.7870250013797535,0.9996746779764404,0.9996746779764404,0.3950586563657119,0.21264967659668688,0.0,0.39538397838927153,0.21297499862024655,3.253220235596878E-4,3.253220235596878E-4,110.8217909,136.01612970000002,366.9966992,356.7245809
17,50,0.7498695267182933,0.9001145742818186,0.9966879184774353,0.9966879184774353,0.246818391759142,0.0965733441956167,0.0,0.2501304732817068,0.09988542571818133,0.003312081522564855,0.003312081522564855,9.666941,11.9444053,12.9899181,8.3744168
17,100,0.7082440247395603,0.8718330224497626,0.9982054274679871,0.9982054274679871,0.28996140272842685,0.12637240501822455,0.0,0.2917559752604396,0.12816697755023734,0.0017945725320128985,0.0017945725320128985,19.8323569,24.7645228,27.0308652,17.6452537
17,250,0.6414402605490434,0.8196594518903126,0.9993273682679256,0.9993273682679256,0.3578871077188822,0.17966791637761292,0.0,0.35855973945095654,0.18034054810968733,6.726317320745617E-4,6.726317320745617E-4,54.1870493,66.58974359999999,78.1561235,56.395004699999994
17,500,0.6046354030485036,0.7976344462661662,0.9996746779764404,0.9996746779764404,0.3950392749279368,0.2020402317102742,0.0,0.39536459695149634,0.20236555373383386,3.253220235596878E-4,3.253220235596878E-4,112.53447940000001,137.1447225,168.80481350000002,151.4749227
18,50,0.751491557987381,0.9121192256894265,0.9966879184774353,0.997873168696926,0.246381610709545,0.0857539430074995,0.0011852502194906744,0.24850844201261899,0.0878807743105735,0.003312081522564855,0.002126831303074073,9.637761699999999,12.0919118,14.573452499999998,12.5220185
18,100,0.6893629315988715,0.8544945560240669,0.9982054274679871,0.9982276645149073,0.3088647329160358,0.14373310849084042,2.2237046920170478E-5,0.31063706840112865,0.14550544397593307,0.0017945725320128985,0.0017723354850927293,20.207394600000004,24.6659246,29.608864900000004,25.8076292
18,250,0.6355545883921401,0.812826107731933,0.9993273682679256,0.9993273682679256,0.3637727798757855,0.18650126053599259,0.0,0.3644454116078598,0.18717389226806697,6.726317320745617E-4,6.726317320745617E-4,53.826426600000005,66.1223956,78.8691336,70.4231252
18,500,0.6077434445032371,0.7994477087730207,0.9996746779764404,0.9996746779764404,0.39193123347320324,0.20022696920341965,0.0,0.39225655549676286,0.20055229122697935,3.253220235596878E-4,3.253220235596878E-4,114.21271629999997,138.8852742,168.97146620000004,147.53464520000003
19,50,0.7508930327824126,0.8939546478786389,0.9909971769015572,0.9977327324400763,0.24683969965766372,0.10377808456143744,0.006735555538519122,0.24910696721758727,0.10604535212136128,0.009002823098442855,0.0022672675599236993,9.023822,11.1372586,14.8857495,12.705486
19,100,0.7116327242762501,0.8739092889050575,0.9808533353353448,0.9982054274679871,0.286572703191737,0.12429613856292965,0.017352092132642327,0.28836727572374987,0.12609071109494266,0.019146664664655245,0.0017945725320128985,19.181958100000003,24.0688891,30.2373194,25.5822224
19,250,0.6306505623702692,0.8220560480257235,0.9804603762093176,0.9993273682679256,0.3686768058976564,0.17727132024220205,0.01886699205860798,0.3693494376297308,0.17794395197427643,0.019539623790682324,6.726317320745617E-4,55.0272611,68.0296562,78.9221264,73.3335907
19,500,0.6042294533325111,0.7935582503564852,0.9804356875876111,0.9996746779764404,0.3954452246439293,0.2061164276199552,0.019238990388829258,0.3957705466674889,0.20644174964351475,0.019564312412388703,3.253220235596878E-4,110.0493549,136.4813436,171.48527080000002,147.4810192
20,50,0.7501472673268748,0.9109696457045027,0.9966879184774353,0.9966879184774353,0.24654065115056056,0.08571827277293265,0.0,0.24985273267312516,0.08903035429549747,0.003312081522564855,0.003312081522564855,9.112191300000001,11.0332212,15.558729499999998,7.9096547
20,100,0.689619062686795,0.8676140027397908,0.9982054274679871,0.9982054274679871,0.30858636478119217,0.1305914247281963,0.0,0.31038093731320504,0.1323859972602091,0.0017945725320128985,0.0017945725320128985,18.8045349,23.252009299999997,32.981729200000004,16.7522919
20,250,0.6250920105855838,0.8188094079443282,0.9993273682679256,0.9993273682679256,0.37423535768234173,0.18051796032359735,0.0,0.3749079894144161,0.18119059205567187,6.726317320745617E-4,6.726317320745617E-4,51.212459100000004,62.9854325,95.5403933,53.160784899999996
20,500,0.6011269180223301,0.7834764734573606,0.9996746779764404,0.9996746779764404,0.3985477599541103,0.21619820451907978,0.0,0.3988730819776699,0.2165235265426395,3.253220235596878E-4,3.253220235596878E-4,108.49055739999999,132.63260310000004,207.0194882,146.11377099999999
21,50,0.7562214842377545,0.9088517689107208,0.9966879184774353,0.9966879184774353,0.24046643423968084,0.08783614956671448,0.0,0.24377851576224546,0.09114823108927914,0.003312081522564855,0.003312081522564855,8.8312265,10.8856451,7.9529252,7.851129
21,100,0.7054868625212498,0.8569614442869083,0.9982054274679871,0.9982054274679871,0.2927185649467373,0.14124398318107878,0.0,0.2945131374787501,0.14303855571309174,0.0017945725320128985,0.0017945725320128985,18.971731400000003,23.216559099999998,17.093649000000003,17.223162100000003
21,250,0.6312392940550298,0.8096364041107629,0.9993273682679256,0.9993273682679256,0.3680880742128958,0.1896909641571627,0.0,0.3687607059449701,0.1903635958892372,6.726317320745617E-4,6.726317320745617E-4,56.0993423,69.0846636,54.291154600000006,57.6125217
21,500,0.6026917454278443,0.7958039082994205,0.9996746779764404,0.9996746779764404,0.39698293254859607,0.2038707696770199,0.0,0.3973082545721557,0.20419609170057954,3.253220235596878E-4,3.253220235596878E-4,107.07331280000001,131.925451,162.94123790000003,156.1532282
22,50,0.760819258726942,0.9100975671347395,0.9966879184774353,0.9966879184774353,0.23586865975049331,0.08659035134269577,0.0,0.23918074127305805,0.08990243286526056,0.003312081522564855,0.003312081522564855,9.080251700000002,11.237967399999999,10.8803418,10.6017136
22,100,0.7024139926998558,0.8682550564974074,0.9982054274679871,0.9982054274679871,0.2957914347681313,0.1299503709705797,0.0,0.29758600730014406,0.13174494350259267,0.0017945725320128985,0.0017945725320128985,18.530154099999997,22.831666900000002,27.024159399999995,25.754425200000004
22,250,0.6387748053057614,0.8168147015329408,0.9993273682679256,0.9993273682679256,0.3605525629621642,0.18251266673498479,0.0,0.3612251946942387,0.18318529846705917,6.726317320745617E-4,6.726317320745617E-4,51.26537090000001,63.158069,110.6216426,103.8707807
22,500,0.6068122161104832,0.7924148116972685,0.9996746779764404,0.9996746779764404,0.3928624618659572,0.20725986627917192,0.0,0.3931877838895169,0.20758518830273148,3.253220235596878E-4,3.253220235596878E-4,108.5386234,132.60731500000003,371.7244507,347.32000389999996
23,50,0.741898260117523,0.9111404040454323,0.9966879184774353,0.9966879184774353,0.2547896583599123,0.08554751443200304,0.0,0.25810173988247687,0.08885959595456776,0.003312081522564855,0.003312081522564855,9.210154900000003,11.6387243,26.650849599999997,10.7273284
23,100,0.7074308003607853,0.8639390305362762,0.9982054274679871,0.9982054274679871,0.2907746271072018,0.13426639693171094,0.0,0.2925691996392147,0.13606096946372367,0.0017945725320128985,0.0017945725320128985,19.060584300000002,23.0535547,56.9020072,25.6943738
23,250,0.6335978908505767,0.8167797521107021,0.9993273682679256,0.9993273682679256,0.36572947741734885,0.18254761615722348,0.0,0.3664021091494232,0.18322024788929786,6.726317320745617E-4,6.726317320745617E-4,51.8390627,63.5323887,175.3025987,105.1063294
23,500,0.6023582995955191,0.7963883935105545,0.9996746779764404,0.9996746779764404,0.39731637838092126,0.20328628446588592,0.0,0.39764170040448077,0.2036116064894454,3.253220235596878E-4,3.253220235596878E-4,138.01755250000002,147.0883541,396.9093283,379.5881583
24,50,0.7538848300304124,0.8996671525854211,0.9966879184774353,0.9966879184774353,0.24280308844702292,0.09702076589201425,0.0,0.24611516996958765,0.10033284741457901,0.003312081522564855,0.003312081522564855,8.930918199999999,11.2091658,15.807528,10.190602499999999
24,100,0.709048191885835,0.863816036240036,0.9982054274679871,0.9982054274679871,0.2891572355821521,0.13438939122795113,0.0,0.2909518081141651,0.13618396375996406,0.0017945725320128985,0.0017945725320128985,18.709582599999997,23.0019299,32.522323400000005,25.200750999999997
24,250,0.6402030740844216,0.8116657535297966,0.9993273682679256,0.9993273682679256,0.359124294183504,0.18766161473812892,0.0,0.3597969259155784,0.1883342464702034,6.726317320745617E-4,6.726317320745617E-4,50.245256499999996,61.884909400000005,85.87769970000001,101.16050279999999
24,500,0.5975340189544196,0.7950860549828798,0.9996746779764404,0.9996746779764404,0.4021406590220208,0.20458862299356062,0.0,0.40246598104558035,0.20491394501712015,3.253220235596878E-4,3.253220235596878E-4,112.64131640000001,145.3916845,174.39138080000004,350.54117410000003
25,50,0.7385776095342098,0.9050099688181021,0.9966879184774353,0.9966879184774353,0.2581103089432255,0.09167794965933318,0.0,0.26142239046579024,0.09499003118189794,0.003312081522564855,0.003312081522564855,10.669919,12.980824099999998,10.428975600000001,14.095603400000002
25,100,0.7144454388470376,0.8628836317223907,0.9982054274679871,0.9982054274679871,0.28375998862094953,0.13532179574559644,0.0,0.2855545611529624,0.13711636827760915,0.0017945725320128985,0.0017945725320128985,22.0434537,27.2345197,25.2890167,28.4866879
25,250,0.644697002438764,0.8203265118361898,0.9993273682679256,0.9993273682679256,0.3546303658291615,0.1790008564317358,0.0,0.35530299756123596,0.17967348816381,6.726317320745617E-4,6.726317320745617E-4,58.1633475,71.71331080000002,100.6533303,75.474928
25,500,0.6130107875555455,0.7909145426126992,0.9996746779764404,0.9996746779764404,0.3866638904208949,0.20876013536374116,0.0,0.3869892124444546,0.20908545738730067,3.253220235596878E-4,3.253220235596878E-4,120.74132219999998,150.1215646,369.6133795,159.59749359999998
26,50,0.7487268837015595,0.8971025876906744,0.9966879184774353,0.9966879184774353,0.24796103477587583,0.0995853307867609,0.0,0.2512731162984405,0.10289741230932584,0.003312081522564855,0.003312081522564855,8.879261900000001,10.8745995,14.1885395,7.822349699999999
26,100,0.6997776984697768,0.8651502567264366,0.9982054274679871,0.9983532627372584,0.29857556426748166,0.1332030060108218,1.4783526927131252E-4,0.3002223015302233,0.13484974327356322,0.0017945725320128985,0.0016467372627415149,18.418719799999998,22.713064599999996,28.979942700000002,15.731579399999998
26,250,0.6349197192325119,0.8189598354138796,0.9993273682679256,0.9993455236782378,0.3644258044457259,0.1803856882643582,1.815541031224832E-5,0.3650802807674882,0.18104016458612032,6.726317320745617E-4,6.544763217622888E-4,55.4306716,68.94708130000001,78.5549456,52.460869100000004
