seed,asset-count,random-score,ga-score,greedy-score,evolved-score,greedy-minus-random,greedy-minus-ga,evolved-minus-greedy
23,50,0.741898260117523,0.9111404040454323,0.9966879184774353,0.9966879184774353,0.2547896583599123,0.08554751443200304,0.0
23,100,0.7074308003607853,0.8639390305362762,0.9982054274679871,0.9982054274679871,0.2907746271072018,0.13426639693171094,0.0
23,250,0.6335978908505767,0.8167797521107021,0.9993273682679256,0.9993273682679256,0.36572947741734885,0.18254761615722348,0.0
23,500,0.6023582995955191,0.7963883935105545,0.9996746779764404,0.9996746779764404,0.39731637838092126,0.20328628446588592,0.0
24,50,0.7538848300304124,0.8996671525854211,0.9966879184774353,0.9966879184774353,0.24280308844702292,0.09702076589201425,0.0
24,100,0.709048191885835,0.863816036240036,0.9982054274679871,0.9982054274679871,0.2891572355821521,0.13438939122795113,0.0
24,250,0.6402030740844216,0.8116657535297966,0.9993273682679256,0.9993273682679256,0.359124294183504,0.18766161473812892,0.0
24,500,0.5975340189544196,0.7950860549828798,0.9996746779764404,0.9996746779764404,0.4021406590220208,0.20458862299356062,0.0
25,50,0.7385776095342098,0.9050099688181021,0.9966879184774353,0.9966879184774353,0.2581103089432255,0.09167794965933318,0.0
25,100,0.7144454388470376,0.8628836317223907,0.9982054274679871,0.9982054274679871,0.28375998862094953,0.13532179574559644,0.0
25,250,0.644697002438764,0.8203265118361898,0.9993273682679256,0.9993273682679256,0.3546303658291615,0.1790008564317358,0.0
25,500,0.6130107875555455,0.7909145426126992,0.9996746779764404,0.9996746779764404,0.3866638904208949,0.20876013536374116,0.0
26,50,0.7487268837015595,0.8971025876906744,0.9966879184774353,0.9966879184774353,0.24796103477587583,0.0995853307867609,0.0
26,100,0.6997776984697768,0.8651502567264366,0.9982054274679871,0.9983532627372584,0.29842772899821035,0.1330551707415505,1.4783526927131252E-4
26,250,0.6349197192325119,0.8189598354138796,0.9993273682679256,0.9993455236782378,0.36440764903541367,0.18036753285404594,1.815541031224832E-5
26,500,0.6085715455270152,0.7865295785292628,0.9996746779764404,0.9996962259854044,0.3911031324494252,0.21314509944717763,2.1548008964034082E-5
27,50,0.7382675348449645,0.9068207651267357,0.9966879184774353,0.9968635111025449,0.2584203836324708,0.08986715335069961,1.755926251095774E-4
27,100,0.71280067357412,0.8623734845938816,0.9982054274679871,0.9982054274679871,0.2854047538938671,0.1358319428741055,0.0
27,250,0.6400565434356664,0.8129426452886076,0.9993273682679256,0.9994090676143307,0.35927082483225914,0.18638472297931796,8.169934640511745E-5
27,500,0.6022576612833435,0.7892273265102925,0.9996746779764404,0.9996832971800261,0.3974170166930969,0.2104473514661479,8.61920358574686E-6
28,50,0.7433802532847472,0.915276170599925,0.9966879184774353,0.9966879184774353,0.2533076651926881,0.08141174787751027,0.0
28,100,0.6835976904407771,0.8654464343928396,0.9982054274679871,0.9982054274679871,0.31460773702721,0.1327589930751475,0.0
28,250,0.6374602775557711,0.814734661549041,0.9993273682679256,0.9993702535925675,0.3618670907121545,0.1845927067188846,4.2885324641916966E-5
28,500,0.6012326478271823,0.7920993425598205,0.9996746779764404,0.9996746779764404,0.39844203014925805,0.20757533541661988,0.0
29,50,0.7562298892133756,0.8878970392085641,0.9966879184774353,0.9968091561542076,0.24045802926405968,0.10879087926887121,1.2123767677230113E-4
29,100,0.6904095758070449,0.8647192581163516,0.9982054274679871,0.9982054274679871,0.30779585166094225,0.1334861693516355,0.0
29,250,0.6377060124193721,0.8145614472433745,0.9993273682679256,0.9993273682679256,0.3616213558485535,0.18476592102455103,0.0
29,500,0.6051575485683032,0.7897620448009263,0.9996746779764404,0.9996746779764404,0.3945171294081372,0.20991263317551412,0.0
30,50,0.7432804252665205,0.899182570092439,0.9966879184774353,0.9966879184774353,0.2534074932109148,0.09750534838499636,0.0
30,100,0.7177539847385827,0.8689740259732762,0.9982054274679871,0.9982054274679871,0.2804514427294045,0.1292314014947109,0.0
30,250,0.6431651812269052,0.8256579616937317,0.9993273682679256,0.9993273682679256,0.3561621870410203,0.17366940657419383,0.0
30,500,0.6071351084125782,0.7985265926797203,0.9996746779764404,0.9996746779764404,0.39253956956386216,0.20114808529672012,0.0
